UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 07:18 ?        00:00:01 /lib/systemd/systemd --system --deserialize 42
root           2       0  0 07:18 ?        00:00:00 [kthreadd]
root           3       2  0 07:18 ?        00:00:00 [rcu_gp]
root           4       2  0 07:18 ?        00:00:00 [rcu_par_gp]
root           5       2  0 07:18 ?        00:00:00 [netns]
root           7       2  0 07:18 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 07:18 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 07:18 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 07:18 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 07:18 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 07:18 ?        00:00:16 [rcu_sched]
root          14       2  0 07:18 ?        00:00:00 [migration/0]
root          15       2  0 07:18 ?        00:00:00 [idle_inject/0]
root          17       2  0 07:18 ?        00:00:00 [cpuhp/0]
root          18       2  0 07:18 ?        00:00:00 [cpuhp/1]
root          19       2  0 07:18 ?        00:00:00 [idle_inject/1]
root          20       2  0 07:18 ?        00:00:00 [migration/1]
root          21       2  0 07:18 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 07:18 ?        00:00:00 [kworker/1:0H-events_highpri]
root          24       2  0 07:18 ?        00:00:00 [kdevtmpfs]
root          25       2  0 07:18 ?        00:00:00 [inet_frag_wq]
root          27       2  0 07:18 ?        00:00:00 [kauditd]
root          28       2  0 07:18 ?        00:00:00 [khungtaskd]
root          29       2  0 07:18 ?        00:00:00 [oom_reaper]
root          30       2  0 07:18 ?        00:00:00 [writeback]
root          31       2  0 07:18 ?        00:00:01 [kcompactd0]
root          32       2  0 07:18 ?        00:00:00 [ksmd]
root          33       2  0 07:18 ?        00:00:00 [khugepaged]
root          79       2  0 07:18 ?        00:00:00 [kintegrityd]
root          80       2  0 07:18 ?        00:00:00 [kblockd]
root          81       2  0 07:18 ?        00:00:00 [blkcg_punt_bio]
root          82       2  0 07:18 ?        00:00:00 [tpm_dev_wq]
root          83       2  0 07:18 ?        00:00:00 [ata_sff]
root          84       2  0 07:18 ?        00:00:00 [md]
root          85       2  0 07:18 ?        00:00:00 [edac-poller]
root          86       2  0 07:18 ?        00:00:00 [devfreq_wq]
root          87       2  0 07:18 ?        00:00:00 [watchdogd]
root          89       2  0 07:18 ?        00:00:00 [kworker/0:1H-kblockd]
root          91       2  0 07:18 ?        00:00:00 [kswapd0]
root          92       2  0 07:18 ?        00:00:00 [ecryptfs-kthrea]
root          94       2  0 07:18 ?        00:00:00 [kthrotld]
root          96       2  0 07:18 ?        00:00:00 [mld]
root          97       2  0 07:18 ?        00:00:00 [ipv6_addrconf]
root          98       2  0 07:18 ?        00:00:00 [kworker/1:1H-kblockd]
root         108       2  0 07:18 ?        00:00:00 [kstrp]
root         111       2  0 07:18 ?        00:00:00 [zswap-shrink]
root         112       2  0 07:18 ?        00:00:00 [kworker/u5:0]
root         119       2  0 07:18 ?        00:00:00 [charger_manager]
root         161       2  0 07:18 ?        00:00:00 [scsi_eh_0]
root         162       2  0 07:18 ?        00:00:00 [scsi_tmf_0]
root         163       2  0 07:18 ?        00:00:00 [scsi_eh_1]
root         164       2  0 07:18 ?        00:00:00 [scsi_tmf_1]
root         165       2  0 07:18 ?        00:00:00 [scsi_eh_2]
root         166       2  0 07:18 ?        00:00:00 [scsi_tmf_2]
root         167       2  0 07:18 ?        00:00:00 [scsi_eh_3]
root         168       2  0 07:18 ?        00:00:00 [scsi_tmf_3]
root         169       2  0 07:18 ?        00:00:00 [scsi_eh_4]
root         170       2  0 07:18 ?        00:00:00 [scsi_tmf_4]
root         171       2  0 07:18 ?        00:00:00 [scsi_eh_5]
root         172       2  0 07:18 ?        00:00:00 [scsi_tmf_5]
root         191       2  0 07:18 ?        00:00:00 [raid5wq]
root         226       2  0 07:18 ?        00:00:00 [jbd2/sda2-8]
root         227       2  0 07:18 ?        00:00:00 [ext4-rsv-conver]
root         305       2  0 07:18 ?        00:00:00 [ipmi-msghandler]
root         321       1  0 07:18 ?        00:00:00 /lib/systemd/systemd-udevd
root         382       2  0 07:18 ?        00:00:00 [cryptd]
avahi        670       1  0 07:18 ?        00:00:10 avahi-daemon: running [ubuntu-linux-22-04-desktop.local]
message+     671       1  0 07:18 ?        00:00:37 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         679       1  0 07:18 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         681       1  0 07:18 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         682       1  0 07:18 ?        00:00:06 /usr/libexec/polkitd --no-debug
root         683       1  0 07:18 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       685       1  0 07:18 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         686       1  0 07:18 ?        00:00:01 /usr/lib/snapd/snapd
root         690       1  0 07:18 ?        00:00:00 /usr/libexec/accounts-daemon
root         697       1  0 07:18 ?        00:00:00 /usr/sbin/cron -f -P
root         712       1  0 07:18 ?        00:00:00 /usr/libexec/switcheroo-control
root         717       1  0 07:18 ?        00:00:00 /lib/systemd/systemd-logind
root         726       1  0 07:18 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         734       1  0 07:18 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        754     670  0 07:18 ?        00:00:00 avahi-daemon: chroot helper
root         777       1  0 07:18 ?        00:00:00 /usr/sbin/ModemManager
root         806       1  0 07:18 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
colord       817       1  0 07:18 ?        00:00:00 /usr/libexec/colord
root         820       1  0 07:18 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         862       1  0 07:18 ?        00:00:03 /usr/bin/prltoolsd -p /var/run/prltoolsd.pid
root         874       1  0 07:18 ?        00:00:00 /usr/sbin/gdm3
root         887     862  0 07:18 ?        00:00:06 prlshprint
root         888     862  0 07:18 ?        00:00:00 prltimesync
root         889     862  0 07:18 ?        00:00:00 prlusmd
rtkit       1026       1  0 07:18 ?        00:00:00 /usr/libexec/rtkit-daemon
